     p4        x2         p5       p2

============= p4 = 6.0 =============
p4: 10.00, x2: 3.60, p5: 0.7033951, p2: 0.0750223
p4: 10.00, x2: 3.70, p5: 0.6769722, p2: 0.0720224
p4: 10.00, x2: 3.80, p5: 0.6509003, p2: 0.0690830
p4: 10.00, x2: 3.90, p5: 0.6252301, p2: 0.0662133
p4: 10.00, x2: 4.00, p5: 0.6000000, p2: 0.0634204
p4: 10.00, x2: 4.10, p5: 0.5752380, p2: 0.0607096
p4: 10.00, x2: 4.20, p5: 0.5509637, p2: 0.0580846
p4: 10.00, x2: 4.30, p5: 0.5271904, p2: 0.0555480
p4: 10.00, x2: 4.40, p5: 0.5039256, p2: 0.0531012
p4: 10.00, x2: 4.50, p5: 0.4811728, p2: 0.0507447
p4: 10.00, x2: 4.60, p5: 0.4589319, p2: 0.0484786
p4: 10.00, x2: 4.70, p5: 0.4372001, p2: 0.0463019
p4: 10.00, x2: 4.80, p5: 0.4159722, p2: 0.0442134
p4: 10.00, x2: 4.90, p5: 0.3952416, p2: 0.0422116
p4: 10.00, x2: 5.00, p5: 0.3750000, p2: 0.0402944
p4: 10.00, x2: 5.10, p5: 0.3552384, p2: 0.0384598
p4: 10.00, x2: 5.20, p5: 0.3359467, p2: 0.0367053
p4: 10.00, x2: 5.30, p5: 0.3171146, p2: 0.0350284
p4: 10.00, x2: 5.40, p5: 0.2987311, p2: 0.0334267
p4: 10.00, x2: 5.50, p5: 0.2807851, p2: 0.0318973
p4: 10.00, x2: 5.60, p5: 0.2632653, p2: 0.0304377
p4: 10.00, x2: 5.70, p5: 0.2461604, p2: 0.0290452
p4: 10.00, x2: 5.80, p5: 0.2294590, p2: 0.0277172
p4: 10.00, x2: 5.90, p5: 0.2131500, p2: 0.0264509
p4: 10.00, x2: 6.00, p5: 0.1972222, p2: 0.0252438
p4: 10.00, x2: 6.10, p5: 0.1816649, p2: 0.0240934
p4: 10.00, x2: 6.20, p5: 0.1664672, p2: 0.0229971
p4: 10.00, x2: 6.30, p5: 0.1516188, p2: 0.0219527
p4: 10.00, x2: 6.40, p5: 0.1371094, p2: 0.0209577
p4: 10.00, x2: 6.50, p5: 0.1229290, p2: 0.0200100
p4: 10.00, x2: 6.60, p5: 0.1090680, p2: 0.0191072
p4: 10.00, x2: 6.70, p5: 0.0955168, p2: 0.0182474
p4: 10.00, x2: 6.80, p5: 0.0822664, p2: 0.0174285
p4: 10.00, x2: 6.90, p5: 0.0693079, p2: 0.0166486
p4: 10.00, x2: 7.00, p5: 0.0566327, p2: 0.0159058
p4: 10.00, x2: 7.10, p5: 0.0442323, p2: 0.0151983
p4: 10.00, x2: 7.20, p5: 0.0320988, p2: 0.0145245
p4: 10.00, x2: 7.30, p5: 0.0202242, p2: 0.0138828
p4: 10.00, x2: 7.40, p5: 0.0086012, p2: 0.0132714

============= p4 = 12.0 =============
p4: 12.00, x2: 1.30, p5: 0.1771006, p2: 0.0431216
